Name,Rating,Food_Produced
Yankari Grill 1,4.4,"Spicy Plantain,Baked Pounded Yam"
Yankari Cuisine 2,4.2,"Tangy Fish,Grilled Masa"
Desert Palace 3,3.5,"Traditional Pizza,Baked Burger"
Sahel Kitchen 4,5.0,"Tangy Egusi Soup,Savory Burger"
Desert Feast 5,4.5,"Spicy Shawarma,Tangy Plantain"
City Grill 6,4.2,"Smoky Shawarma,Roasted Afang Soup"
Borno Cuisine 7,3.6,"Fried Chicken,Grilled Egusi Soup"
Sambisa Spot 8,3.6,"Fried Pizza,Roasted Chicken"
Golden Feast 9,4.6,"Roasted Jollof Rice,Smoky Egusi Soup"
Desert Palace 10,4.0,"Savory Shawarma,Tangy Plantain"
Royal Kitchen 11,4.4,"Baked Fish,Traditional Pounded Yam"
Oasis Grill 12,4.1,"Spicy Egusi Soup,Sweet Chicken"
Oasis Bites 13,3.6,"Fried Egusi Soup,Smoky Efo Riro"
Kanem Grill 14,3.7,"Baked Jollof Rice,Spicy Efo Riro"
Desert Spot 15,5.0,"Traditional Suya,Savory Chicken"
Yankari Palace 16,4.9,"Sweet Suya,Fried Jollof Rice"
Royal Joint 17,4.7,"Traditional Shawarma,Spicy Fish"
Golden Palace 18,4.8,"Sweet Chicken,Baked Fish"
Yankari Bites 19,4.5,"Roasted Suya,Smoky Jollof Rice"
City Spot 20,4.2,"Spicy Masa,Traditional Jollof Rice"
Yankari Diner 21,4.9,"Roasted Jollof Rice,Fried Burger"
City Kitchen 22,3.8,"Traditional Masa,Baked Efo Riro"
City Feast 23,3.5,"Sweet Fish,Sweet Pizza"
Oasis Feast 24,4.5,"Smoky Egusi Soup,Baked Shawarma"
Borno Hut 25,5.0,"Grilled Efo Riro,Baked Plantain"
Oasis Palace 26,4.9,"Smoky Pounded Yam,Spicy Egusi Soup"
Royal Diner 27,4.9,"Traditional Jollof Rice,Sweet Plantain"
Royal Grill 28,3.7,"Spicy Jollof Rice,Baked Chicken"
Kanem Hut 29,4.7,"Roasted Burger,Spicy Shawarma"
City Kitchen 30,4.7,"Grilled Burger,Baked Jollof Rice"
Sahel Spot 31,3.8,"Grilled Efo Riro,Roasted Pizza"
Golden Spot 32,4.8,"Grilled Shawarma,Grilled Burger"
Oasis Spot 33,4.0,"Savory Pizza,Sweet Suya"
Desert Feast 34,4.4,"Tangy Plantain,Sweet Shawarma"
Desert Kitchen 35,4.3,"Roasted Fish,Spicy Shawarma"
Golden Palace 36,4.8,"Sweet Masa,Traditional Fish"
City Spot 37,4.9,"Roasted Fish,Tangy Masa"
Royal Diner 38,4.4,"Tangy Burger,Traditional Shawarma"
City Grill 39,3.7,"Smoky Chicken,Savory Egusi Soup"
Sahel Spot 40,4.9,"Smoky Egusi Soup,Roasted Efo Riro"
Sambisa Kitchen 41,4.5,"Fried Fish,Roasted Egusi Soup"
Royal Cuisine 42,4.1,"Savory Efo Riro,Grilled Shawarma"
Oasis Diner 43,4.0,"Traditional Pounded Yam,Baked Afang Soup"
Golden Bites 44,4.1,"Grilled Burger,Smoky Egusi Soup"
Yankari Bites 45,4.0,"Baked Shawarma,Fried Afang Soup"
Yankari Bites 46,3.6,"Grilled Masa,Roasted Pounded Yam"
Kanem Cuisine 47,4.0,"Roasted Afang Soup,Spicy Chicken"
Sambisa Cuisine 48,5.0,"Tangy Suya,Tangy Efo Riro"
Borno Palace 49,4.9,"Sweet Plantain,Baked Burger"
Yankari Hut 50,4.3,"Traditional Masa,Baked Afang Soup"
Kanem Diner 51,4.1,"Savory Plantain,Fried Shawarma"
City Kitchen 52,4.8,"Traditional Chicken,Smoky Efo Riro"
Sahel Hut 53,3.7,"Sweet Plantain,Traditional Pizza"
Desert Spot 54,4.1,"Traditional Chicken,Traditional Masa"
Kanem Diner 55,4.4,"Fried Egusi Soup,Baked Jollof Rice"
Golden Feast 56,4.0,"Roasted Suya,Traditional Masa"
Royal Diner 57,4.7,"Spicy Fish,Fried Pizza"
Oasis Palace 58,4.3,"Baked Pizza,Spicy Egusi Soup"
Sambisa Kitchen 59,3.9,"Traditional Plantain,Sweet Pizza"
Desert Joint 60,3.8,"Traditional Suya,Spicy Jollof Rice"
Sambisa Cuisine 61,3.9,"Spicy Suya,Smoky Burger"
Royal Kitchen 62,3.5,"Sweet Chicken,Tangy Efo Riro"
Kanem Feast 63,3.8,"Traditional Masa,Grilled Efo Riro"
Sambisa Diner 64,4.6,"Smoky Pizza,Fried Burger"
Borno Grill 65,4.6,"Fried Afang Soup,Baked Masa"
Golden Palace 66,3.5,"Grilled Jollof Rice,Tangy Plantain"
Yankari Cuisine 67,4.5,"Roasted Shawarma,Traditional Pizza"
City Grill 68,3.7,"Fried Fish,Smoky Burger"
Kanem Diner 69,3.8,"Smoky Plantain,Roasted Burger"
Royal Diner 70,4.4,"Tangy Pizza,Fried Shawarma"
Borno Diner 71,4.9,"Spicy Jollof Rice,Traditional Afang Soup"
Sahel Diner 72,3.9,"Traditional Fish,Fried Chicken"
Borno Diner 73,3.8,"Spicy Plantain,Roasted Afang Soup"
Oasis Bites 74,5.0,"Roasted Egusi Soup,Tangy Burger"
Kanem Joint 75,5.0,"Traditional Afang Soup,Savory Burger"
Yankari Kitchen 76,3.8,"Grilled Fish,Traditional Burger"
Borno Palace 77,4.8,"Smoky Jollof Rice,Spicy Pounded Yam"
Kanem Hut 78,4.5,"Grilled Suya,Baked Pizza"
Desert Spot 79,4.1,"Grilled Pizza,Roasted Burger"
Yankari Kitchen 80,4.3,"Spicy Chicken,Grilled Masa"
Borno Kitchen 81,4.8,"Tangy Pounded Yam,Spicy Shawarma"
City Bites 82,4.1,"Fried Suya,Tangy Fish"
City Feast 83,3.6,"Grilled Masa,Fried Pounded Yam"
Yankari Cuisine 84,3.8,"Grilled Shawarma,Fried Burger"
Yankari Bites 85,3.9,"Savory Fish,Smoky Chicken"
Oasis Kitchen 86,4.1,"Tangy Plantain,Fried Shawarma"
Desert Bites 87,3.6,"Traditional Afang Soup,Fried Efo Riro"
Desert Kitchen 88,3.6,"Tangy Chicken,Savory Fish"
Golden Hut 89,4.7,"Fried Jollof Rice,Tangy Plantain"
Borno Joint 90,4.0,"Roasted Suya,Fried Masa"
Sambisa Feast 91,4.3,"Sweet Pizza,Savory Chicken"
Borno Kitchen 92,3.7,"Smoky Pounded Yam,Baked Egusi Soup"
Yankari Joint 93,4.1,"Sweet Egusi Soup,Roasted Shawarma"
Sambisa Diner 94,4.1,"Savory Burger,Roasted Shawarma"
Kanem Joint 95,4.4,"Grilled Egusi Soup,Grilled Jollof Rice"
Sambisa Kitchen 96,4.8,"Baked Fish,Fried Chicken"
Golden Joint 97,3.9,"Sweet Fish,Sweet Masa"
Borno Spot 98,3.8,"Fried Pizza,Tangy Masa"
Sambisa Hut 99,4.8,"Fried Egusi Soup,Baked Pounded Yam"
Golden Bites 100,4.6,"Traditional Burger,Roasted Suya"
Borno Spot 101,4.2,"Smoky Egusi Soup,Smoky Masa"
Borno Diner 102,4.9,"Baked Chicken,Tangy Efo Riro"
Oasis Diner 103,4.1,"Baked Fish,Sweet Jollof Rice"
City Feast 104,4.5,"Spicy Pounded Yam,Traditional Burger"
Sambisa Kitchen 105,3.6,"Savory Shawarma,Baked Pounded Yam"
Borno Grill 106,4.6,"Savory Pizza,Traditional Shawarma"
Oasis Bites 107,4.5,"Baked Jollof Rice,Spicy Efo Riro"
Sambisa Feast 108,4.2,"Smoky Fish,Traditional Chicken"
Yankari Grill 109,3.6,"Smoky Suya,Sweet Efo Riro"
Kanem Diner 110,4.5,"Tangy Pizza,Savory Masa"
Royal Diner 111,4.9,"Traditional Burger,Smoky Pounded Yam"
Desert Diner 112,3.6,"Grilled Chicken,Tangy Afang Soup"
Golden Hut 113,4.3,"Spicy Masa,Roasted Shawarma"
Golden Joint 114,3.7,"Roasted Masa,Grilled Plantain"
Golden Cuisine 115,4.4,"Savory Plantain,Roasted Chicken"
Borno Joint 116,4.2,"Spicy Suya,Baked Masa"
Yankari Grill 117,3.7,"Traditional Afang Soup,Baked Suya"
Kanem Spot 118,4.7,"Fried Pizza,Fried Chicken"
Sahel Kitchen 119,4.0,"Sweet Masa,Sweet Shawarma"
Kanem Palace 120,4.9,"Grilled Fish,Roasted Pizza"
Oasis Feast 121,4.3,"Savory Pizza,Baked Egusi Soup"
City Feast 122,4.6,"Fried Shawarma,Tangy Plantain"
Sambisa Bites 123,3.5,"Fried Efo Riro,Spicy Jollof Rice"
Golden Grill 124,5.0,"Sweet Fish,Fried Shawarma"
Yankari Hut 125,4.3,"Savory Afang Soup,Tangy Plantain"
Kanem Bites 126,3.6,"Tangy Burger,Grilled Masa"
Sahel Spot 127,4.3,"Baked Efo Riro,Spicy Shawarma"
Sambisa Cuisine 128,4.0,"Smoky Burger,Smoky Efo Riro"
Sambisa Diner 129,4.5,"Sweet Shawarma,Grilled Afang Soup"
Desert Diner 130,3.6,"Tangy Jollof Rice,Savory Suya"
Yankari Hut 131,4.8,"Roasted Plantain,Fried Burger"
Royal Palace 132,3.6,"Savory Fish,Tangy Shawarma"
Oasis Cuisine 133,3.9,"Roasted Efo Riro,Sweet Masa"
Sambisa Joint 134,4.6,"Roasted Afang Soup,Grilled Chicken"
Desert Joint 135,4.0,"Sweet Chicken,Baked Masa"
Sambisa Hut 136,4.8,"Savory Fish,Roasted Burger"
City Feast 137,4.7,"Fried Afang Soup,Fried Fish"
Kanem Grill 138,4.4,"Grilled Fish,Sweet Egusi Soup"
Sambisa Bites 139,4.8,"Sweet Afang Soup,Traditional Pizza"
Golden Hut 140,3.6,"Grilled Shawarma,Savory Egusi Soup"
Kanem Kitchen 141,4.6,"Savory Pizza,Traditional Efo Riro"
Sambisa Hut 142,3.6,"Fried Shawarma,Baked Plantain"
Kanem Joint 143,4.4,"Smoky Chicken,Sweet Plantain"
Kanem Cuisine 144,4.0,"Tangy Pizza,Tangy Chicken"
Desert Palace 145,4.9,"Savory Jollof Rice,Spicy Afang Soup"
Kanem Diner 146,4.5,"Fried Masa,Spicy Suya"
Sambisa Hut 147,4.3,"Roasted Efo Riro,Spicy Plantain"
Sahel Kitchen 148,3.8,"Smoky Suya,Tangy Pounded Yam"
Sahel Kitchen 149,5.0,"Smoky Suya,Traditional Chicken"
Desert Kitchen 150,4.4,"Savory Suya,Roasted Pizza"
City Palace 151,3.8,"Grilled Chicken,Grilled Pounded Yam"
City Grill 152,4.8,"Grilled Pounded Yam,Smoky Afang Soup"
Sambisa Diner 153,4.2,"Sweet Masa,Grilled Plantain"
Borno Kitchen 154,4.2,"Spicy Suya,Grilled Pizza"
Sambisa Hut 155,4.0,"Savory Afang Soup,Grilled Plantain"
Sambisa Joint 156,3.6,"Fried Pizza,Savory Afang Soup"
Royal Grill 157,4.4,"Grilled Plantain,Tangy Suya"
Yankari Kitchen 158,3.8,"Baked Shawarma,Traditional Masa"
Sahel Bites 159,4.7,"Traditional Afang Soup,Spicy Shawarma"
Sahel Joint 160,5.0,"Tangy Jollof Rice,Sweet Shawarma"
Borno Diner 161,4.2,"Roasted Masa,Grilled Pizza"
Borno Palace 162,3.5,"Savory Pizza,Savory Burger"
Royal Palace 163,4.6,"Traditional Pizza,Traditional Masa"
Royal Feast 164,3.7,"Roasted Pizza,Grilled Egusi Soup"
Kanem Cuisine 165,4.8,"Fried Burger,Sweet Pounded Yam"
Golden Kitchen 166,4.5,"Tangy Chicken,Smoky Suya"
Borno Palace 167,5.0,"Savory Egusi Soup,Savory Burger"
Royal Palace 168,4.3,"Roasted Fish,Grilled Pizza"
Yankari Cuisine 169,5.0,"Grilled Efo Riro,Traditional Shawarma"
Sambisa Grill 170,4.3,"Roasted Plantain,Tangy Burger"
Kanem Diner 171,3.6,"Traditional Plantain,Baked Fish"
City Spot 172,3.7,"Roasted Shawarma,Fried Suya"
Kanem Bites 173,4.6,"Spicy Pizza,Grilled Shawarma"
Oasis Palace 174,3.7,"Grilled Shawarma,Baked Efo Riro"
Golden Feast 175,3.8,"Smoky Plantain,Fried Egusi Soup"
Sahel Kitchen 176,4.5,"Sweet Chicken,Grilled Fish"
Sahel Grill 177,4.0,"Savory Burger,Spicy Jollof Rice"
Kanem Bites 178,3.7,"Fried Chicken,Smoky Egusi Soup"
Kanem Palace 179,4.9,"Baked Masa,Roasted Shawarma"
City Feast 180,4.6,"Traditional Egusi Soup,Fried Pounded Yam"
Sambisa Feast 181,4.0,"Grilled Pounded Yam,Grilled Masa"
Kanem Cuisine 182,4.2,"Sweet Pizza,Baked Shawarma"
Desert Spot 183,4.4,"Tangy Shawarma,Roasted Fish"
Royal Cuisine 184,4.8,"Fried Chicken,Baked Efo Riro"
Yankari Palace 185,3.8,"Traditional Egusi Soup,Sweet Chicken"
Yankari Cuisine 186,4.0,"Savory Burger,Baked Jollof Rice"
Sahel Grill 187,4.5,"Tangy Jollof Rice,Traditional Masa"
Kanem Grill 188,4.6,"Savory Fish,Traditional Masa"
Sambisa Bites 189,4.7,"Traditional Suya,Traditional Jollof Rice"
Sambisa Diner 190,3.9,"Traditional Pizza,Baked Masa"
Borno Joint 191,3.7,"Smoky Efo Riro,Sweet Jollof Rice"
Golden Grill 192,4.6,"Traditional Jollof Rice,Tangy Egusi Soup"
Golden Diner 193,4.7,"Smoky Shawarma,Smoky Chicken"
Oasis Kitchen 194,5.0,"Traditional Afang Soup,Tangy Masa"
Royal Bites 195,4.0,"Sweet Egusi Soup,Baked Fish"
Sambisa Joint 196,4.2,"Roasted Afang Soup,Roasted Egusi Soup"
Oasis Bites 197,3.7,"Savory Jollof Rice,Sweet Plantain"
Sambisa Hut 198,3.6,"Smoky Plantain,Roasted Fish"
Desert Hut 199,3.7,"Tangy Burger,Spicy Masa"
Yankari Kitchen 200,3.7,"Savory Pizza,Savory Plantain"
Borno Spot 201,3.7,"Baked Jollof Rice,Smoky Chicken"
Sambisa Palace 202,4.9,"Sweet Jollof Rice,Roasted Pounded Yam"
Borno Feast 203,4.8,"Roasted Burger,Spicy Jollof Rice"
Desert Palace 204,4.1,"Savory Afang Soup,Smoky Burger"
Borno Spot 205,4.7,"Sweet Fish,Fried Chicken"
Borno Hut 206,3.6,"Smoky Masa,Smoky Plantain"
Kanem Bites 207,3.6,"Roasted Suya,Smoky Pizza"
Royal Kitchen 208,4.6,"Tangy Jollof Rice,Fried Masa"
Borno Feast 209,3.7,"Spicy Suya,Sweet Burger"
Desert Palace 210,3.9,"Tangy Pizza,Savory Shawarma"
Golden Joint 211,4.2,"Savory Plantain,Smoky Afang Soup"
Oasis Spot 212,4.9,"Roasted Efo Riro,Smoky Suya"
Golden Spot 213,4.2,"Fried Jollof Rice,Smoky Masa"
City Cuisine 214,4.2,"Traditional Burger,Fried Pounded Yam"
Yankari Bites 215,3.8,"Roasted Pizza,Tangy Efo Riro"
Sambisa Diner 216,4.5,"Smoky Pounded Yam,Spicy Chicken"
Kanem Cuisine 217,3.8,"Fried Pizza,Grilled Egusi Soup"
Yankari Diner 218,4.1,"Grilled Fish,Traditional Burger"
Yankari Diner 219,3.6,"Spicy Shawarma,Traditional Plantain"
Sahel Palace 220,4.0,"Grilled Afang Soup,Grilled Pizza"
Borno Grill 221,4.7,"Savory Fish,Grilled Plantain"
Oasis Kitchen 222,3.7,"Roasted Masa,Smoky Afang Soup"
Kanem Hut 223,4.3,"Roasted Jollof Rice,Tangy Plantain"
Borno Grill 224,4.8,"Tangy Suya,Grilled Pizza"
Oasis Cuisine 225,4.7,"Roasted Suya,Traditional Jollof Rice"
Sambisa Spot 226,4.8,"Smoky Pounded Yam,Tangy Efo Riro"
Yankari Palace 227,4.6,"Sweet Shawarma,Grilled Afang Soup"
City Kitchen 228,4.8,"Smoky Chicken,Grilled Jollof Rice"
City Cuisine 229,4.3,"Fried Efo Riro,Baked Burger"
Golden Spot 230,4.8,"Traditional Masa,Roasted Burger"
Oasis Hut 231,3.7,"Roasted Efo Riro,Spicy Burger"
Royal Diner 232,4.9,"Roasted Burger,Spicy Egusi Soup"
City Bites 233,4.0,"Savory Jollof Rice,Traditional Pizza"
Borno Joint 234,4.3,"Tangy Pizza,Baked Masa"
City Feast 235,4.1,"Tangy Burger,Smoky Fish"
City Grill 236,4.0,"Tangy Chicken,Grilled Pizza"
Golden Bites 237,4.7,"Smoky Masa,Grilled Chicken"
Golden Grill 238,4.5,"Tangy Pounded Yam,Traditional Jollof Rice"
Borno Palace 239,3.9,"Tangy Egusi Soup,Grilled Afang Soup"
Golden Hut 240,4.9,"Smoky Afang Soup,Traditional Pizza"
Golden Palace 241,4.0,"Traditional Shawarma,Grilled Afang Soup"
Royal Kitchen 242,4.6,"Sweet Jollof Rice,Spicy Pounded Yam"
Oasis Cuisine 243,4.2,"Smoky Pounded Yam,Savory Chicken"
Borno Diner 244,3.8,"Fried Efo Riro,Savory Burger"
Yankari Kitchen 245,3.7,"Sweet Egusi Soup,Smoky Chicken"
Sambisa Grill 246,3.8,"Traditional Masa,Tangy Chicken"
City Kitchen 247,4.1,"Savory Egusi Soup,Tangy Fish"
Yankari Hut 248,4.8,"Baked Chicken,Spicy Egusi Soup"
Yankari Bites 249,3.7,"Traditional Egusi Soup,Fried Suya"
Desert Palace 250,4.2,"Tangy Fish,Sweet Chicken"
